image_id,snr,clustering,background_color,fiber_color,num_fibers,filename,precision,recall,f1_score,accuracy,num_gt,num_pred
2843,2.979,4.0,190,108,20,snr2.979_cluster4_bg190_sn108_n20_image_2843.png,0.95,0.95,0.9500000000000001,0.9047619047619048,20,20
2565,4.532,4.0,132,99,37,snr4.532_cluster4_bg132_sn99_n37_image_2565.png,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.8048780487804879,37,37
2671,8.527,9.0,135,97,56,snr8.527_cluster9_bg135_sn97_n56_image_2671.png,0.92,0.8214285714285714,0.8679245283018867,0.7666666666666667,56,50
2520,7.054,5.0,129,77,50,snr7.054_cluster5_bg129_sn77_n50_image_2520.png,0.9387755102040817,0.92,0.9292929292929293,0.8679245283018868,50,49
2794,3.87,10.0,203,144,52,snr3.870_cluster10_bg203_sn144_n52_image_2794.png,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9259259259259259,52,52
3163,11.964,0.0,219,135,30,snr11.964_cluster0_bg219_sn135_n30_image_3163.png,0.8928571428571429,0.8333333333333334,0.8620689655172413,0.7575757575757576,30,28
3186,4.102,2.0,70,39,37,snr4.102_cluster2_bg70_sn39_n37_image_3186.png,0.868421052631579,0.8918918918918919,0.88,0.7857142857142857,37,38
2681,4.755,5.0,125,88,51,snr4.755_cluster5_bg125_sn88_n51_image_2681.png,0.9,0.8823529411764706,0.8910891089108911,0.8035714285714286,51,50
2444,5.929,5.0,155,112,72,snr5.929_cluster5_bg155_sn112_n72_image_2444.png,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,72,72
2454,7.201,8.0,137,102,52,snr7.201_cluster8_bg137_sn102_n52_image_2454.png,0.8490566037735849,0.8653846153846154,0.8571428571428571,0.75,52,53
2783,7.015,10.0,143,91,49,snr7.015_cluster10_bg143_sn91_n49_image_2783.png,0.78,0.7959183673469388,0.7878787878787878,0.65,49,50
2970,10.472,10.0,72,45,38,snr10.472_cluster10_bg72_sn45_n38_image_2970.png,0.8285714285714286,0.7631578947368421,0.7945205479452055,0.6590909090909091,38,35
2932,7.14,3.0,219,131,39,snr7.140_cluster3_bg219_sn131_n39_image_2932.png,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.9024390243902439,39,39
2336,11.412,10.0,65,48,45,snr11.412_cluster10_bg65_sn48_n45_image_2336.png,0.8409090909090909,0.8222222222222222,0.8314606741573033,0.7115384615384616,45,44
2996,5.267,5.0,118,65,75,snr5.267_cluster5_bg118_sn65_n75_image_2996.png,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.8292682926829268,75,75
2322,5.564,4.0,178,129,35,snr5.564_cluster4_bg178_sn129_n35_image_2322.png,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,35,35
2892,11.964,1.0,164,96,34,snr11.964_cluster1_bg164_sn96_n34_image_2892.png,0.9117647058823529,0.9117647058823529,0.9117647058823528,0.8378378378378378,34,34
2404,5.048,2.0,197,125,40,snr5.048_cluster2_bg197_sn125_n40_image_2404.png,0.9230769230769231,0.9,0.9113924050632911,0.8372093023255814,40,39
2908,3.198,0.0,91,64,52,snr3.198_cluster0_bg91_sn64_n52_image_2908.png,0.9215686274509803,0.9038461538461539,0.9126213592233009,0.8392857142857143,52,51
2501,4.209,3.0,143,95,24,snr4.209_cluster3_bg143_sn95_n24_image_2501.png,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,24,24
2306,10.219,10.0,37,25,20,snr10.219_cluster10_bg37_sn25_n20_image_2306.png,1.0,0.95,0.9743589743589743,0.95,20,19
2299,11.827,8.0,138,77,32,snr11.827_cluster8_bg138_sn77_n32_image_2299.png,0.9354838709677419,0.90625,0.9206349206349206,0.8529411764705882,32,31
2369,9.197,7.0,152,116,47,snr9.197_cluster7_bg152_sn116_n47_image_2369.png,0.8,0.7659574468085106,0.7826086956521738,0.6428571428571429,47,45
2942,8.259,8.0,59,35,40,snr8.259_cluster8_bg59_sn35_n40_image_2942.png,0.8421052631578947,0.8,0.8205128205128205,0.6956521739130435,40,38
2651,12.32,2.0,200,111,40,snr12.320_cluster2_bg200_sn111_n40_image_2651.png,0.868421052631579,0.825,0.8461538461538461,0.7333333333333333,40,38
2363,5.159,10.0,208,160,34,snr5.159_cluster10_bg208_sn160_n34_image_2363.png,0.8,0.8235294117647058,0.8115942028985507,0.6829268292682927,34,35
3055,9.721,9.0,63,39,36,snr9.721_cluster9_bg63_sn39_n36_image_3055.png,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7857142857142857,36,39
2695,9.348,1.0,113,72,27,snr9.348_cluster1_bg113_sn72_n27_image_2695.png,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9285714285714286,27,27
2232,5.426,10.0,97,70,47,snr5.426_cluster10_bg97_sn70_n47_image_2232.png,0.9111111111111111,0.8723404255319149,0.891304347826087,0.803921568627451,47,45
2622,11.953,9.0,43,27,57,snr11.953_cluster9_bg43_sn27_n57_image_2622.png,0.847457627118644,0.8771929824561403,0.8620689655172413,0.7575757575757576,57,59
2559,9.768,3.0,52,33,57,snr9.768_cluster3_bg52_sn33_n57_image_2559.png,0.9285714285714286,0.9122807017543859,0.9203539823008849,0.8524590163934426,57,56
2587,3.252,1.0,196,160,46,snr3.252_cluster1_bg196_sn160_n46_image_2587.png,1.0,0.9782608695652174,0.989010989010989,0.9782608695652174,46,45
2630,4.338,0.0,109,61,29,snr4.338_cluster0_bg109_sn61_n29_image_2630.png,0.896551724137931,0.896551724137931,0.896551724137931,0.8125,29,29
2311,7.788,7.0,90,51,20,snr7.788_cluster7_bg90_sn51_n20_image_2311.png,0.95,0.95,0.9500000000000001,0.9047619047619048,20,20
2946,4.483,10.0,80,63,72,snr4.483_cluster10_bg80_sn63_n72_image_2946.png,0.7857142857142857,0.7638888888888888,0.7746478873239437,0.632183908045977,72,70
3015,2.533,3.0,172,136,41,snr2.533_cluster3_bg172_sn136_n41_image_3015.png,0.9736842105263158,0.9024390243902439,0.9367088607594938,0.8809523809523809,41,38
2354,4.504,9.0,179,101,55,snr4.504_cluster9_bg179_sn101_n55_image_2354.png,0.8888888888888888,0.8727272727272727,0.8807339449541284,0.7868852459016393,55,54
2263,6.806,10.0,116,72,52,snr6.806_cluster10_bg116_sn72_n52_image_2263.png,0.7169811320754716,0.7307692307692307,0.7238095238095238,0.5671641791044776,52,53
2931,10.629,7.0,40,30,44,snr10.629_cluster7_bg40_sn30_n44_image_2931.png,0.8444444444444444,0.8636363636363636,0.853932584269663,0.7450980392156863,44,45
2680,12.365,3.0,172,117,37,snr12.365_cluster3_bg172_sn117_n37_image_2680.png,0.972972972972973,0.972972972972973,0.972972972972973,0.9473684210526315,37,37
2697,10.715,8.0,68,50,35,snr10.715_cluster8_bg68_sn50_n35_image_2697.png,0.9117647058823529,0.8857142857142857,0.8985507246376812,0.8157894736842105,35,34
2631,3.869,6.0,60,46,40,snr3.869_cluster6_bg60_sn46_n40_image_2631.png,0.8974358974358975,0.875,0.8860759493670887,0.7954545454545454,40,39
2834,6.695,5.0,167,95,69,snr6.695_cluster5_bg167_sn95_n69_image_2834.png,0.8507462686567164,0.8260869565217391,0.838235294117647,0.7215189873417721,69,67
2345,2.915,4.0,186,135,27,snr2.915_cluster4_bg186_sn135_n27_image_2345.png,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.8275862068965517,27,26
2870,7.236,0.0,52,40,57,snr7.236_cluster0_bg52_sn40_n57_image_2870.png,0.8928571428571429,0.8771929824561403,0.8849557522123894,0.7936507936507936,57,56
2507,10.355,0.0,60,47,65,snr10.355_cluster0_bg60_sn47_n65_image_2507.png,0.9365079365079365,0.9076923076923077,0.9218749999999999,0.855072463768116,65,63
2519,9.227,3.0,219,157,32,snr9.227_cluster3_bg219_sn157_n32_image_2519.png,0.9666666666666667,0.90625,0.9354838709677419,0.8787878787878788,32,30
2604,7.347,10.0,89,54,29,snr7.347_cluster10_bg89_sn54_n29_image_2604.png,0.88,0.7586206896551724,0.8148148148148148,0.6875,29,25
2448,9.413,9.0,193,155,41,snr9.413_cluster9_bg193_sn155_n41_image_2448.png,0.8974358974358975,0.8536585365853658,0.875,0.7777777777777778,41,39
3114,5.574,7.0,125,71,50,snr5.574_cluster7_bg125_sn71_n50_image_3114.png,0.8723404255319149,0.82,0.8453608247422681,0.7321428571428571,50,47
2372,5.991,8.0,81,65,42,snr5.991_cluster8_bg81_sn65_n42_image_2372.png,0.9512195121951219,0.9285714285714286,0.9397590361445782,0.8863636363636364,42,41
2511,5.237,7.0,74,51,44,snr5.237_cluster7_bg74_sn51_n44_image_2511.png,0.9534883720930233,0.9318181818181818,0.942528735632184,0.8913043478260869,44,43
2576,5.144,2.0,136,82,50,snr5.144_cluster2_bg136_sn82_n50_image_2576.png,0.8490566037735849,0.9,0.8737864077669903,0.7758620689655172,50,53
3050,4.342,9.0,106,66,26,snr4.342_cluster9_bg106_sn66_n26_image_3050.png,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9259259259259259,26,26
2793,5.777,7.0,174,97,42,snr5.777_cluster7_bg174_sn97_n42_image_2793.png,0.8974358974358975,0.8333333333333334,0.8641975308641975,0.7608695652173914,42,39
2476,11.821,6.0,100,61,62,snr11.821_cluster6_bg100_sn61_n62_image_2476.png,0.864406779661017,0.8225806451612904,0.8429752066115702,0.7285714285714285,62,59
2860,6.354,7.0,140,106,16,snr6.354_cluster7_bg140_sn106_n16_image_2860.png,0.8666666666666667,0.8125,0.8387096774193549,0.7222222222222222,16,15
2781,4.298,9.0,104,80,65,snr4.298_cluster9_bg104_sn80_n65_image_2781.png,0.7323943661971831,0.8,0.7647058823529411,0.6190476190476191,65,71
2540,11.082,4.0,99,59,58,snr11.082_cluster4_bg99_sn59_n58_image_2540.png,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.7272727272727273,58,56
2598,11.186,5.0,96,59,34,snr11.186_cluster5_bg96_sn59_n34_image_2598.png,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8888888888888888,34,34
2847,8.182,4.0,35,20,57,snr8.182_cluster4_bg35_sn20_n57_image_2847.png,0.8727272727272727,0.8421052631578947,0.8571428571428571,0.75,57,55
2934,8.699,1.0,121,88,39,snr8.699_cluster1_bg121_sn88_n39_image_2934.png,0.9473684210526315,0.9230769230769231,0.935064935064935,0.8780487804878049,39,38
2602,12.018,4.0,60,46,33,snr12.018_cluster4_bg60_sn46_n33_image_2602.png,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8333333333333334,33,33
3124,7.592,5.0,217,138,43,snr7.592_cluster5_bg217_sn138_n43_image_3124.png,0.8571428571428571,0.8372093023255814,0.8470588235294119,0.7346938775510204,43,42
2702,9.119,4.0,204,126,59,snr9.119_cluster4_bg204_sn126_n59_image_2702.png,0.9454545454545454,0.8813559322033898,0.9122807017543859,0.8387096774193549,59,55
2661,8.985,8.0,136,78,53,snr8.985_cluster8_bg136_sn78_n53_image_2661.png,0.9347826086956522,0.8113207547169812,0.8686868686868686,0.7678571428571429,53,46
3069,11.244,10.0,142,99,47,snr11.244_cluster10_bg142_sn99_n47_image_3069.png,0.64,0.6808510638297872,0.6597938144329897,0.49230769230769234,47,50
