image_id,snr,clustering,background_color,fiber_color,num_fibers,filename,precision,recall,f1_score,accuracy,num_gt,num_pred
3038,8.149,2.0,92,58,33,snr8.149_cluster2_bg92_sn58_n33_image_3038.png,0.8,0.8484848484848485,0.823529411764706,0.7,33,35
2636,9.348,0.0,56,34,41,snr9.348_cluster0_bg56_sn34_n41_image_2636.png,0.9047619047619048,0.926829268292683,0.9156626506024096,0.8444444444444444,41,42
2989,8.625,1.0,82,47,29,snr8.625_cluster1_bg82_sn47_n29_image_2989.png,1.0,0.9310344827586207,0.9642857142857143,0.9310344827586207,29,27
2670,12.114,7.0,208,119,57,snr12.114_cluster7_bg208_sn119_n57_image_2670.png,0.7636363636363637,0.7368421052631579,0.7499999999999999,0.6,57,55
3184,12.152,9.0,38,25,60,snr12.152_cluster9_bg38_sn25_n60_image_3184.png,0.43243243243243246,0.5333333333333333,0.47761194029850745,0.3137254901960784,60,74
2456,12.434,0.0,132,87,7,snr12.434_cluster0_bg132_sn87_n7_image_2456.png,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75,7,7
3192,10.967,4.0,33,22,64,snr10.967_cluster4_bg33_sn22_n64_image_3192.png,0.835820895522388,0.875,0.8549618320610687,0.7466666666666667,64,67
3014,2.792,7.0,79,45,59,snr2.792_cluster7_bg79_sn45_n59_image_3014.png,0.5945945945945946,0.7457627118644068,0.6616541353383459,0.4943820224719101,59,74
3066,6.561,5.0,46,29,45,snr6.561_cluster5_bg46_sn29_n45_image_3066.png,0.9130434782608695,0.9333333333333333,0.9230769230769231,0.8571428571428571,45,46
2765,8.676,3.0,68,39,48,snr8.676_cluster3_bg68_sn39_n48_image_2765.png,0.7708333333333334,0.7708333333333334,0.7708333333333333,0.6271186440677966,48,48
2906,11.974,8.0,83,56,32,snr11.974_cluster8_bg83_sn56_n32_image_2906.png,0.7,0.65625,0.6774193548387096,0.5121951219512195,32,30
2897,3.509,4.0,57,34,66,snr3.509_cluster4_bg57_sn34_n66_image_2897.png,0.7647058823529411,0.7878787878787878,0.7761194029850745,0.6341463414634146,66,68
2294,4.862,1.0,131,79,52,snr4.862_cluster1_bg131_sn79_n52_image_2294.png,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8571428571428571,52,52
3173,6.604,7.0,75,51,21,snr6.604_cluster7_bg75_sn51_n21_image_3173.png,0.8333333333333334,0.9523809523809523,0.888888888888889,0.8,21,24
2539,6.558,2.0,97,77,41,snr6.558_cluster2_bg97_sn77_n41_image_2539.png,0.95,0.926829268292683,0.9382716049382716,0.8837209302325582,41,40
2411,8.609,6.0,157,123,38,snr8.609_cluster6_bg157_sn123_n38_image_2411.png,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.7272727272727273,38,38
2823,9.832,0.0,207,153,37,snr9.832_cluster0_bg207_sn153_n37_image_2823.png,0.9444444444444444,0.918918918918919,0.9315068493150684,0.8717948717948718,37,36
2285,9.912,6.0,187,154,5,snr9.912_cluster6_bg187_sn154_n5_image_2285.png,0.75,0.6,0.6666666666666665,0.5,5,4
2821,4.6,8.0,118,80,57,snr4.600_cluster8_bg118_sn80_n57_image_2821.png,0.8909090909090909,0.8596491228070176,0.875,0.7777777777777778,57,55
2577,6.294,7.0,68,49,46,snr6.294_cluster7_bg68_sn49_n46_image_2577.png,0.9302325581395349,0.8695652173913043,0.898876404494382,0.8163265306122449,46,43
